1960,842754,842754,459,149,149,0,16,4,176978,0,0,0,149,459
1961,842754,1685508,459,247,149,98,16,4,353956,0,0,0,247,459
1962,842754,2528262,459,309,149,159,16,4,530935,0,0,0,309,459
1963,842754,3371016,459,347,149,198,16,4,707913,0,0,-2,345,457
1964,842754,4213770,459,373,149,224,16,4,884891,0,0,-5,368,454
1965,842754,5056524,459,390,149,241,16,4,1061870,0,0,-8,382,451
1966,842754,5899278,459,402,149,253,16,4,1238848,7070,0,-10,392,449
1967,842754,6742032,459,411,149,262,16,4,1415826,13857,0,-13,398,446
1968,842754,7584786,459,417,149,268,16,4,1592805,21566,1,-15,403,445
1969,842754,8427540,459,422,149,273,16,4,1769783,28155,2,-18,406,443
1970,842754,9270294,459,426,149,277,16,4,1946761,36507,3,-20,408,442
1971,842754,10113048,459,429,149,280,16,4,2123740,42849,3,-22,410,440
1972,842754,10955802,459,431,149,282,16,4,2300718,51831,4,-25,411,438
1973,842754,11798556,459,433,149,284,16,4,2477696,58217,5,-27,412,437
1974,842754,12641310,459,435,149,286,16,4,2654675,68514,7,-29,413,437
1975,842754,13484064,459,437,149,288,16,4,2831653,75265,8,-31,413,436
1976,842754,14326818,459,438,149,289,16,4,3008631,86970,10,-34,414,435
1977,842754,15169572,459,439,149,290,16,4,3185610,94070,11,-36,414,434
1978,842754,16012326,459,440,149,291,16,4,3362588,101127,12,-38,414,433
1979,2150000,18162326,1172,673,380,292,41,12,3814088,108293,13,-41,645,1144
1980,2150000,20312326,1172,827,380,446,41,12,4265588,115415,15,-43,799,1144
1981,2105000,22417326,1147,914,372,542,40,12,4707638,129570,17,-45,886,1119
1982,2105000,24522326,1147,970,372,598,40,12,5149688,137060,19,-52,937,1114
1983,2105000,26627326,1147,1007,372,634,40,12,5591738,152830,21,-58,970,1110
1984,2105000,28732326,1147,1032,372,660,40,12,6033788,160746,22,-64,990,1105
1985,2105000,30837326,1147,1050,372,677,40,12,6475838,186986,25,-70,1005,1102
1986,2105000,32942326,1147,1063,372,690,40,12,6917888,224934,29,-76,1015,1100
1987,2105000,35047326,1147,1072,372,700,40,12,7359938,249581,32,-82,1023,1097
1988,2105000,37152326,1147,1080,372,707,40,12,7801988,273450,35,-87,1028,1095
1989,1777000,38929326,968,1028,314,713,34,10,8175158,315170,40,-85,982,923
1990,1373000,40302326,748,923,242,680,26,8,8463488,338382,43,-91,875,700
1991,1103000,41405326,601,808,195,612,21,6,8695118,360325,45,-96,757,550
1992,1378600,42783926,751,784,243,540,26,8,8984624,382625,48,-101,731,698
1993,1489600,44273526,812,790,263,527,28,8,9297440,431497,53,-105,738,760
1994,1489600,45763126,812,794,263,531,28,8,9610256,456019,56,-107,743,761
1995,2905900,48669026,1584,1047,514,533,56,17,10220495,473986,60,-111,996,1533
1996,1816100,50485126,990,1021,321,700,35,10,10601876,486195,63,-115,969,938
1997,1322700,51807826,721,909,233,675,25,7,10879643,519775,66,-119,855,668
1998,1738300,53546126,947,911,307,603,33,10,11244686,533963,69,-128,852,888
1999,1725900,55272026,941,914,305,609,33,10,11607125,551578,72,-133,853,880
2000,1822600,57094626,993,933,322,610,35,10,11989871,572604,75,-136,872,932
2001,1816500,58911126,990,944,321,623,35,10,12371336,626457,80,-141,883,929
2002,2165088,59718077,1093,993,362,630,39,12,12540796,684795,82,-146,929,1029
2003,2539514,62257592,1301,1074,432,641,47,14,13528762,695042,85,-149,1010,1237
2004,2777131,65034723,1410,1162,469,692,51,15,14111960,719606,89,-154,1097,1345
2005,1901393,66936117,954,1066,320,746,34,10,14511253,742490,92,-159,1000,887
2006,1428628,68364745,747,936,246,689,26,8,14811265,767321,96,-165,866,678
2007,1164972,69529718,633,824,206,617,22,6,15055909,791493,100,-172,751,561
2008,1291096,70820815,699,780,229,551,25,7,15327039,864789,106,-177,709,628
2009,746365,71567180,438,663,141,521,15,4,15483776,961414,114,-180,596,372
2010,700000,72267180,415,585,134,451,14,4,15666583,1081740,123,-182,526,356
2011,641799,72908980,372,521,120,400,13,3,15883428,1152330,132,-185,468,319
2012,457100,73366080,250,440,82,357,9,2,16130180,1176632,138,-186,391,202
2013,589095,73955175,326,408,107,301,11,3,16450917,1178590,142,-188,363,280
2014,501199,74456375,276,373,91,281,9,3,16766211,1184115,147,-192,327,231
2015,620687,75077062,339,369,111,257,12,3,17102683,1171711,150,-196,322,293
2016,789300,75866363,444,398,145,252,15,4,17467119,1171004,153,-200,350,397
2017,694713,76561076,391,399,128,271,14,4,17793830,1182476,156,-204,351,343
2018,753584,77314661,424,409,139,270,15,4,18116561,1194169,159,-208,360,375
2019,1012933,78327594,581,464,189,275,20,6,18477956,1211042,162,-212,414,531
2020,1108800,79436395,633,517,206,311,22,6,18843208,1222696,164,-215,466,582
